hjd,camera,mag,mag_err,flux,flux_err
2457681.93092,bb,11.112,0.02,137.742,2.534
2456475.044,ba,11.079,0.02,151.598,2.789
2457333.92016,ba,11.122,0.02,145.743,2.682
2457298.86866,ba,11.12,0.02,146.008,2.687
2457388.7899,bb,11.123,0.02,136.346,2.509
2458021.06673,bb,11.119,0.02,136.871,2.518
2457387.71705,bb,11.107,0.02,138.406,2.547
2457230.96422,ba,11.097,0.02,149.136,2.744
2456863.03827,bb,11.094,0.02,140.077,2.577
2457228.0239,ba,11.109,0.02,147.525,2.714
2457368.7156,ba,11.116,0.02,146.567,2.697
2457193.04569,ba,11.118,0.02,146.204,2.69
2456874.94583,bb,11.096,0.02,139.801,2.572
2457316.77783,ba,11.128,0.02,144.872,2.666
2457020.74943,ba,11.089,0.02,150.231,2.764
2457276.05817,ba,11.13,0.02,144.688,2.662
2457604.00069,bb,11.119,0.02,136.814,2.517
2457631.07474,bb,11.115,0.02,137.355,2.527
2458020.06741,bb,11.127,0.02,135.905,2.501
2456967.87653,bb,11.121,0.02,136.677,2.515
2457659.02695,ba,11.129,0.02,144.758,2.664
2456864.0344,bb,11.102,0.02,139.055,2.559
2456821.0583,ba,11.202,0.02,135.322,2.49
2458020.01502,ba,11.119,0.02,146.153,2.689
2457052.71282,bb,11.114,0.02,137.478,2.53
2457587.05809,ba,11.119,0.02,146.06,2.688
2457958.04988,bb,11.12,0.02,136.769,2.517
2457958.99284,ba,11.386,0.02,114.303,2.103
2456913.99127,ba,11.089,0.02,150.176,2.763
2457943.01698,ba,11.121,0.02,145.8,2.683
2456814.08721,bb,11.111,0.02,137.876,2.537
2457975.00608,ba,11.109,0.02,147.463,2.713
2458038.76307,ba,11.118,0.02,146.268,2.691
2456904.87458,ba,11.112,0.02,147.018,2.705
2456506.91729,bb,11.474,0.02,98.683,1.816
2456822.05993,ba,11.116,0.02,146.585,2.697
2457671.95516,ba,11.109,0.02,147.457,2.713
2457915.06909,ba,11.114,0.02,146.863,2.702
2457318.75334,bb,11.099,0.02,139.408,2.565
2458116.74847,ba,11.116,0.02,146.586,2.697
2457640.05393,bb,11.097,0.02,139.634,2.569
2456820.0984,ba,11.089,0.02,150.232,2.764
2458014.06722,bb,11.119,0.02,136.844,2.518
2456981.71468,ba,11.133,0.02,144.215,2.654
2457562.07185,bb,11.12,0.02,136.8,2.517
2457673.76273,bb,11.112,0.02,137.78,2.535
2457043.7098,bb,11.11,0.02,137.973,2.539
2457333.83907,bb,11.13,0.02,135.447,2.492
2457678.88299,bb,11.122,0.02,136.509,2.512
2457202.0262,ba,11.093,0.02,149.695,2.754
